id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
214,7x12 round buckweat bolster - Pair,A pair of 7x12 inches bolsters with buckweat filling.,https://www.allezhousses.com/en/massage-bolsters-and-cushions/214-7x12-round-buckweat-bolster-pair.html,new,CAD$28.99,In Stock,https://www.allezhousses.com/539-large_default/7x12-round-buckweat-bolster-pair.jpg,,AH778S712,"
				    Allez Housses
				"
207,Flannel Headrest Cover,"Headrest covers made of 100% cotton flannel.,
,
,Our heardrest covers are seamless at the forehead and eye level; they don't leave any marks on your clients face.,
,Soft and comfortable, your client will appreciate the quality of headrest covers manufactured by Allez Housses.,
,
,All meterials are of first and superior quality,
,Made in Quebec by Allez Housses,
					,Custom embroidery for your headrest covers,
,Massage Boutik offers you a personalized embroidery service for your massage accessories that will allow you to promote your business in an easy and original way. Have your company name, logo, design, and even your first and last name embroidered on your AllezHousses headrest covers. We do each embroidery in a professional way so that it stands out for its durability and robustness.,
,
,Advantages of a personalized embroidery on your headrest covers,
,When your clients see your custom embroidered headrest covers, they will see your professionalism and will be more likely to remember you. Each custom embroidered headrest cover is machine washable and rest assured that your embroidery will not deteriorate even after several washes. Our specialists will be able to embroider all sizes and models of headrest covers and on all fabrics (terry cloth, cotton, polyester, fleece, etc.).,
,
,For businesses,:, Add a touch of refinement to your massage therapy equipment for your spa, massage therapy center, hotel, or beauty center, with custom embroidered headrest covers. Choose from a multitude of thread colours for your embroidery, as well as a wide choice of lettering (available in several sizes). You can also submit your own design for more originality.,
,
,For individuals,:, Whether it is to celebrate an important event, offer a special gift to a loved one, or equip your massage therapy practice with head covers with personalized embroidery, you can now do it with our custom embroidery service.,
,
,Any questions?,
,If you have any questions about our ,custom embroidery service,, don’t hesitate to ,contact us,. Our team will be happy to give you all the information you need as soon as possible.,
				",https://www.allezhousses.com/en/comfort-accessories-for-massage/207-flannel-headrest-cover.html,new,CAD$5.99,In Stock,https://www.allezhousses.com/963-large_default/flannel-headrest-cover.jpg,,AH700H-FX,"
				    Allez Housses
				"
226,Digital Moist Heating Pad - Therathem,Buy Digital Moist Heating Pad - Therathem from AllezHousses,https://www.allezhousses.com/en/therapeutic-accessories-for-massage/226-coussin-chauffant-theratherm-14x27.html,new,CAD$119.99,In Stock,https://www.allezhousses.com/4243-large_default/coussin-chauffant-theratherm-14x27.jpg,, ,
203,3 Pieces Flannel Sheet Set,"3 piece flannel sheet set 100% Cotton,
,
,Includes : ,
,
,Fitted sheet 24/26, 28/30 or 32/34 x 72,
,Flat sheet 60x90,
,Headrest cover ,
,
,
,Flannel is 100% woven brushed cotton giving it its soft feel. ,
,
,Being a woven fabric, flannel is not extensible.,
,
,All meterials are of first and superior quality,
,
,Made in Quebec by Allez Housses,
					,Custom embroidery for your massage sheet set, ,
,Massage Boutik offers you a personalized embroidery service to promote your business in a unique way. Have your company name, logo, or even your first and last name embroidered on our AllezHousses massage sheet sets. Each embroidery is professionally made and durable.,
,
,Benefits of custom embroidery on your massage sheet sets,
,Embroidery with your company name and logo shows professionalism and remains an easy and inexpensive way to advertise your business. The embroidered sheets remain machine washable; the embroidery will retain its new appearance even after several washes. Our specialists can make your embroidery in many colors and on all types of fabrics: terry cloth, flannel, cotton, quilted cotton and more.,
,
,For businesses,: Whether it is for a hotel, spa, health center or professional massage therapy center, massage sheet sets with custom embroidery can be designed with multiple fonts and custom size and graphics. There is no minimum quantity.,
,
,For individuals,: Whether it is for a gift, a special event or a celebration, you have the chance to add a personalized touch to a set of massage sheets with our custom embroidery service.,
,
,Any questions?,
,If you would like to know more about our ,custom embroidery service,, we invite you to ,contact us, and we will be happy to answer your questions.,
,
,
				",https://www.allezhousses.com/en/massage-linen/203-3-pieces-flannel-sheet-set.html,new,CAD$44.99,In Stock,https://www.allezhousses.com/498-large_default/3-pieces-flannel-sheet-set.jpg,,,"
				    Allez Housses
				"
10,Expresso portable Nomad table,Buy Expresso portable Nomad table from AllezHousses,https://www.allezhousses.com/en/massage-table/10-expresso-nomad-table.html,new,CAD$575.00,In Stock,https://www.allezhousses.com/32-large_default/expresso-nomad-table.jpg,,,"
				    Nomad
				"
155,Dual-Purpose Biotone Massage Creme,"Nationally known as the favorite massage creme of professionals!,
,This creme combines the desired features of an oil and lotion in one.,
,With an effortless glide and luxurious consistency, it offers excellent versatility, workability and absorbency.,
,Equally suited for the face, feet and hands, as it is for full body massage.,
,Leaves skin soft and moisturized with no greasy feel. Contains Arnica extract to help stimulate circulation and ease bruises.,
,Key Ingredients :, Almond Oil, Arnica Extract, Ivy Extract, Aloe Vera Oil, Vitamin E, Vegetable Glycerin.,
,Characteristics :,
,
,Effortless Glide, Extended Workability,
,Quality Performance with Less Reapplications,
,Gentle Drag, Excellent Versatility,
,Rich, thick texture, non-greasy and paraben-free,
,
,Dual-Purpose is not pumpable. ,
",https://www.allezhousses.com/en/massage-products/155-dual-purpose-biotone-massage-creme.html,new,CAD$25.99,In Stock,https://www.allezhousses.com/420-large_default/dual-purpose-biotone-massage-creme.jpg,,DPC,"
				    Biotone
				"
196,Jar Holster + 4 oz Jar,"Jar Holster comes with a belt that adjusts up to 40"" with an easy-lock clip buckle and a support band to ensure jar placement. Includes an empty 4 oz jar with lid, ready to use. Now in Black for a sleek look.,
,
,Easy clip belt adjusts up to 40"",
,Includes empty 4oz jar with lid,
,Available in black,
",https://www.allezhousses.com/en/bottles-pumps-and-belts/196-jar-holster-4-oz-jar.html,new,CAD$36.99,In Stock,https://www.allezhousses.com/462-large_default/jar-holster-4-oz-jar.jpg,,HOLJ2,"
				    Biotone
				"
211,Traversin sarrasin rond 4x12,Buy Traversin sarrasin rond 4x12 from AllezHousses,https://www.allezhousses.com/en/massage-equipment/211-traversin-sarrasin-rond-4x12-.html,new,CAD$13.99,In Stock,https://www.allezhousses.com/527-large_default/traversin-sarrasin-rond-4x12-.jpg,,AH778S412,"
				    Allez Housses
				"
65,100% Shea Butter Balm,"The butter is produced by hand grinding and hand churning the almonds; or by mechanical methods using a mill. In order to preserve the intrinsic properties, the Shea butter must be produced using natural methods without the use of chemical solvents.,
,Natural Shea butter is distinguished by its beige-yellow color, smooth texture and typical odor. A white odorless butter may indicate that it was extracted with industrial methods using chemical solvents. It may then have lost certain desired properties.,
,Butter qualities,
,-                 Regeneration and soothing,
,-                 Deep moisturizing and source of vitamin A, D, E, K,
,Practical for the following uses,
,-                 For a deep moisturizing massage,
,-                 Dry skin,
,-                 Brittle nails and hair,
,-                 Chapped lips,
,-                 Eye and mouth contour,
,Instructions,
,Warm the product in your hands before using. Apply the balm gradually, without pressure, until it has completely penetrated the entire area to be massaged.",https://www.allezhousses.com/en/baumes/65-100-shea-butter-balm.html,new,CAD$26.25,In Stock,https://www.allezhousses.com/205-large_default/100-shea-butter-balm.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
58,Thermal Balm,"Our therapeutic massage balms offer you a soft blend of hypo-allergenic, organic dry oils, organic plants macerated for months in our workshop and top quality, 100% pure essential oils.,
,Composition:,
,This remarkably soft balm is made of organic vegetable oils including soybean oil, organic palm tree butter, dry rice oil and antioxidants such as vitamin E. A blend of organic calendula flower extract, white camphor, eucalyptus, peppermint and wintergreen, it is particularly known to provide a soothing and comforting thermal massage.,
,Balm qualities,
,-                 Soft texture, silky and does not feel sticky,
,-                 Deep and natural heat by massage,
,-                 Non irritating for the skin, does not contain menthol crystals,
,Much appreciated for the following needs,
,-                 Stiff joints,
,-                 Back pain, lumbar tension, sciatic nerve pain,
,-                 Arthritis, osteoarthritis and rheumatism,
,Instructions,
,Approximate quantities determined for an average height individual during the summer. For the back: 5 ml; for the legs: 5 ml; for the arms and the neck: 5 ml; full body: 15 ml.,
,Warm the balm in your hands before using. Apply the balm gradually, without pressure, until it has completely penetrated the entire area to be massaged. Once the balm has been properly applied, massage with both hands, from top to bottom without neglecting the sides of the body and going up towards the shoulders and neck. Massage the feet, the ankles and the thighs in light circular motions.,
,For optimum results, also use Musculo & Pulmo Air Balneo-Aroma Salts.,
,Precautions,
,Avoid use if suffering from hypertension, if pregnant or breastfeeding and for children under 2 years old. Do not apply on mucous membranes, eyes or irritated skin.",https://www.allezhousses.com/en/therapeutic-balms-and-creams-for-massage/58-thermal-balm.html,new,CAD$15.99,In Stock,https://www.allezhousses.com/184-large_default/thermal-balm.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
