identifiant,titre,description,lien,état,prix,disponibilité,lien image,gtin,référence fabricant,marque
52,Baume légèreté,"Nos baumes de massage thérapeutiques vous offrent un doux mélange d’huiles sèches, hypo-allergènes, biologiques, de plantes biologiques macérées pendant plusieurs mois directement à notre atelier, et d’huiles essentielles 100% pures de première qualité.",https://massageboutik.com/fr/beurres-et-baumes-de-massage/52-baume-legerete.html,new,CAD$31.99,In Stock,https://massageboutik.com/150-large_default/baume-legerete.jpg,,,"
						Les Soins Corporels l'Herbier
					"
65,Baume Karité 100%,"Le beurre de karité naturel se distingue par sa couleur beige-jaune, sa texture lisse et son odeur typique. Un beurre blanc et inodore peut signifier, au contraire, qu’il a été extrait industriellement à l’aide de solvants chimiques. Il risque alors d’avoir perdu certaines de ses propriétés.",https://massageboutik.com/fr/beurres-baumes/65-baume-karite-100.html,new,CAD$26.25,In Stock,https://massageboutik.com/205-large_default/baume-karite-100.jpg,,,"
						Les Soins Corporels l'Herbier
					"
58,Baume Thermal,"Nos baumes de massage thérapeutique vous offrent un doux mélange d’huiles sèches, hypoallergènes, biologiques, de plantes biologiques macérées pendant plusieurs mois directement à notre atelier, et d’huiles essentielles 100% pures de première qualité.",https://massageboutik.com/fr/baumes-et-cremes-therapeutiques-de-massage/58-baume-thermal.html,new,CAD$15.99,In Stock,https://massageboutik.com/184-large_default/baume-thermal.jpg,,,"
						Les Soins Corporels l'Herbier
					"
73,Huile de bain et massage Lavandine,"Bien-être, relaxation et détente,
,Nos huiles de bain et de massage sont composées d’ingrédients frais et naturels, d’huiles fines bio-végétales sèches, d’arômes et d’huiles essentielles pures favorisant l’hydratation, la beauté et la santé de l’épiderme, le bien-être corporel par le bain ou le massage.",https://massageboutik.com/fr/huiles-de-massage/73-huile-de-bain-et-massage-lavandine.html,new,CAD$20.99,In Stock,https://massageboutik.com/217-large_default/huile-de-bain-et-massage-lavandine.jpg,,HUIXXXLAV,"
						Les Soins Corporels l'Herbier
					"
10,Table portative Nomad Expresso,"Table de massage spécialement conçue pour les professionnels qui ont à se déplacer fréquemment.,
,Légère et efficace, seulement 25 lb",https://massageboutik.com/fr/table-de-massage/10-table-portative-nomad-expresso.html,new,CAD$575.00,In Stock,https://massageboutik.com/32-large_default/table-portative-nomad-expresso.jpg,,,"
						Nomad
					"
118,Crème Masso Visage,"Combiné au massage quotidien de votre visage, cette crème de jour et de nuit vous offre le meilleur des plantes, leur fraîcheur et leur délicatesse pour une beauté naturelle et une peau saine et rayonnante.",https://massageboutik.com/fr/produits-de-massage/118-creme-masso-visage.html,new,CAD$20.99,In Stock,https://massageboutik.com/318-large_default/creme-masso-visage.jpg,,CREXXXVIS,"
						Les Soins Corporels l'Herbier
					"
285,"Diffuseur / Nébuliseur d'huiles essentielle ""Vivi""","Diffuseur / Nébuliseur ""Vivi"",
,La diffusion d’huiles essentielles est une solution simple et naturelle pour améliorer la qualité de votre air et votre qualité de vie.,
,La technologie utilisée par le diffuseur est considérée comme étant le moyen de diffusion d’huiles essentielles dans l’air le plus efficace et le plus agréable pour les utilisateurs.",https://massageboutik.com/fr/ambiance/285-diffuseur-nebuliseur-vivi.html,new,CAD$89.99,In Stock,https://massageboutik.com/4286-large_default/diffuseur-nebuliseur-vivi.jpg,,,
261,Nettoyant dégraissant pour table,"Nettoyant doux et dégraissant biodégradable pour les tables, traversins et accessoires de massage.",https://massageboutik.com/fr/divers/261-nettoyant-degraissant-pour-table.html,new,CAD$9.99,In Stock,https://massageboutik.com/623-large_default/nettoyant-degraissant-pour-table.jpg,,IN4-BIOXX,
248,Pierre de Massage - Large,"Pierre de massage en basalte naturel. De 3 à 3,75 pouces de diamêtre.",https://massageboutik.com/fr/pierres-de-massage/248-pierre-de-massage-large.html,new,CAD$9.99,In Stock,https://massageboutik.com/593-large_default/pierre-de-massage-large.jpg,,PUGX,
259,Détergent à Lessive,Détergent spécialement formulé pour faciliter l'entretien des tissus qui sont en contact avec des huiles et des gras.,https://massageboutik.com/fr/literie-de-massage/259-detergent-a-lessive.html,new,CAD$31.99,In Stock,https://massageboutik.com/4198-large_default/detergent-a-lessive.jpg,, ,
258,Moxa sans fumée - 5 bâtons,"Bâtonnets de Moxa  ,
,Bâtonnet d'armoise à enflammer pour réchauffer la musculature en profondeur.,
,Particulièrement utile pour traiter les inflammations tissulaires.,
, ",https://massageboutik.com/fr/accessoires-therapeutiques-pour-massage/258-moxa-sans-fumee-5-batons.html,new,CAD$8.99,In Stock,https://massageboutik.com/4536-large_default/moxa-sans-fumee-5-batons.jpg,,MB-0115,
229,Complexe Diffuseur Equilibre,"Ce complexe a pour fonction de purifier les énergie des personnes et des lieux, comme une aura de protection.",https://massageboutik.com/fr/ambiance/229-complexe-diffuseur-equilibre-.html,new,CAD$34.03,In Stock,https://massageboutik.com/569-large_default/complexe-diffuseur-equilibre-.jpg,,,"
						Aliksir
					"
293,Chaise de Massage Portal Pro Oakworks,"LA chaise de massage multi-fonctionnelle. Très légère et facile d'ajustement, c'est la chaise préférée des professionnels.",https://massageboutik.com/fr/chaise-de-massage/293-chaise-de-massage-portal-pro-oakworks.html,new,CAD$689.99,In Stock,https://massageboutik.com/3426-large_default/chaise-de-massage-portal-pro-oakworks.jpg,,,"
						Oakworks
					"
227,Housse de rallonge de table/appui-bras Nomad,Housse contour protectrice pour la rallonge de table / appui-bras de Nomad.,https://massageboutik.com/fr/accessoires-confort-pour-massage/227-housse-de-rallonge-de-tableappui-bras-nomad.html,new,CAD$10.99,In Stock,https://massageboutik.com/561-large_default/housse-de-rallonge-de-tableappui-bras-nomad.jpg,,AH700ETN,"
						Allez Housses
					"
