id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Mass1,Expresso portable Nomad table,BuyExpresso portable Nomad tablefrom Massage Boutik,https://massageboutik.com/en/massage-table/10-expresso-nomad-table.html,new,$575.00,In Stock,https://massageboutik.com/32-large_default/expresso-nomad-table.jpg,,,"
				    Nomad
				"
Mass2,Balance,BuyBalancefrom Massage Boutik,https://massageboutik.com/en/ambience/229-balance.html,new,$34.03,In Stock,https://massageboutik.com/569-large_default/balance.jpg,,,"
				    Aliksir
				"
Mass3,Complex 25 PLUS - Specialized Complex,BuyComplex 25 PLUS - Specialized Complexfrom Massage Boutik,https://massageboutik.com/en/ambience/241-formula-25-.html,new,$22.64,In Stock,https://massageboutik.com/4325-large_default/formula-25-.jpg,,,"
				    Aliksir
				"
Mass4,7x12 round buckweat bolster - Pair,Buy7x12 round buckweat bolster - Pairfrom Massage Boutik,https://massageboutik.com/en/massage-equipment/214-7x12-round-buckweat-bolster-pair.html,new,$28.99,In Stock,https://massageboutik.com/539-large_default/7x12-round-buckweat-bolster-pair.jpg,,AH778S712,"
				    Allez Housses
				"
Mass5,Digital Moist Heating Pad - Therathem,BuyDigital Moist Heating Pad - Therathemfrom Massage Boutik,https://massageboutik.com/en/therapeutic-accessories-for-massage/226-coussin-chauffant-theratherm-14x27.html,new,$119.99,In Stock,https://massageboutik.com/4243-large_default/coussin-chauffant-theratherm-14x27.jpg,, ,
Mass6,Traversin sarrasin rond 4x12,BuyTraversin sarrasin rond 4x12from Massage Boutik,https://massageboutik.com/en/massage-equipment/211-traversin-sarrasin-rond-4x12-.html,new,$13.99,In Stock,https://massageboutik.com/527-large_default/traversin-sarrasin-rond-4x12-.jpg,,AH778S412,"
				    Allez Housses
				"
Mass7,Housse de rallonge de table/appui-bras Nomad,BuyHousse de rallonge de table/appui-bras Nomadfrom Massage Boutik,https://massageboutik.com/en/comfort-accessories-for-massage/227-housse-de-rallonge-de-tableappui-bras-nomad.html,new,$10.99,In Stock,https://massageboutik.com/561-large_default/housse-de-rallonge-de-tableappui-bras-nomad.jpg,,AH700ETN,"
				    Allez Housses
				"
Mass8,Biogel – Relaxation & Release,BuyBiogel – Relaxation & Releasefrom Massage Boutik,https://massageboutik.com/en/massage-products/43-biogel-relaxation-release.html,new,$9.89,In Stock,https://massageboutik.com/102-large_default/biogel-relaxation-release.jpg,,GELXXXREL,"
				    Les Soins Corporels l'Herbier
				"
Mass9,Flannel Headrest Cover,BuyFlannel Headrest Coverfrom Massage Boutik,https://massageboutik.com/en/massage-linen/207-flannel-headrest-cover.html,new,$5.99,In Stock,https://massageboutik.com/963-large_default/flannel-headrest-cover.jpg,,AH700H-FX,"
				    Allez Housses
				"
Mass10,3 Pieces Flannel Sheet Set,Buy3 Pieces Flannel Sheet Setfrom Massage Boutik,https://massageboutik.com/en/massage-linen/203-3-pieces-flannel-sheet-set.html,new,$44.99,In Stock,https://massageboutik.com/498-large_default/3-pieces-flannel-sheet-set.jpg,,,"
				    Allez Housses
				"
Mass11,Jar Holster + 4 oz Jar,BuyJar Holster + 4 oz Jarfrom Massage Boutik,https://massageboutik.com/en/bottles-pumps-and-belts/196-jar-holster-4-oz-jar.html,new,$36.99,In Stock,https://massageboutik.com/462-large_default/jar-holster-4-oz-jar.jpg,,HOLJ2,"
				    Biotone
				"
Mass12,Cream Masso Visage,BuyCream Masso Visagefrom Massage Boutik,https://massageboutik.com/en/massage-products/118-cream-masso-visage.html,new,$20.99,In Stock,https://massageboutik.com/318-large_default/cream-masso-visage.jpg,,CREXXXVIS,"
				    Les Soins Corporels l'Herbier
				"
Mass13,Arôma-Spas | Lavender Oil,BuyArôma-Spas | Lavender Oilfrom Massage Boutik,https://massageboutik.com/en/massage-oils/73-aroma-spas-lavender-oil.html,new,$20.99,In Stock,https://massageboutik.com/217-large_default/aroma-spas-lavender-oil.jpg,,HUIXXXLAV,"
				    Les Soins Corporels l'Herbier
				"
Mass14,Bambino - Massage cream maple cookie,BuyBambino - Massage cream maple cookiefrom Massage Boutik,https://massageboutik.com/en/massage-products/125-bambino-massage-cream-maple-cookie.html,new,$9.59,In Stock,https://massageboutik.com/341-large_default/bambino-massage-cream-maple-cookie.jpg,,BAMXXXMER,"
				    Les Soins Corporels l'Herbier
				"
Mass15,Dual-Purpose Biotone Massage Creme,BuyDual-Purpose Biotone Massage Cremefrom Massage Boutik,https://massageboutik.com/en/massage-products/155-dual-purpose-biotone-massage-creme.html,new,$25.99,In Stock,https://massageboutik.com/420-large_default/dual-purpose-biotone-massage-creme.jpg,,DPC,"
				    Biotone
				"
Mass16,Beautiful Legs Gel,BuyBeautiful Legs Gelfrom Massage Boutik,https://massageboutik.com/en/massage-products/124-beautiful-legs-gel.html,new,$32.75,In Stock,https://massageboutik.com/338-large_default/beautiful-legs-gel.jpg,,GELXXXJAM,"
				    Les Soins Corporels l'Herbier
				"
Mass17,Sous-vêtement jetable pour homme - Boxer,BuySous-vêtement jetable pour homme - Boxerfrom Massage Boutik,https://massageboutik.com/en/body-care-accessories/369-sous-vetement-jetable-pour-homme-boxer.html,new,$5.99,In Stock,https://massageboutik.com/901-large_default/sous-vetement-jetable-pour-homme-boxer.jpg,,MB-CGDW04,
Mass18,Bamboo Massage Table Stick Set + DVD,BuyBamboo Massage Table Stick Set + DVDfrom Massage Boutik,https://massageboutik.com/en/massage-bamboos/364-ens-de-8-bambous-dvd-pour-massage.html,new,$224.99,In Stock,https://massageboutik.com/4544-large_default/ens-de-8-bambous-dvd-pour-massage.jpg,,1001-CF-DVD,"
				    Bamboo Fusion
				"
Mass19,Traversin vinyle 1/2 lune,BuyTraversin vinyle 1/2 lunefrom Massage Boutik,https://massageboutik.com/en/massage-bolsters-and-cushions/360-traversin-vinyle-12-lune.html,new,$31.99,In Stock,https://massageboutik.com/889-large_default/traversin-vinyle-12-lune.jpg,,TRAV626DL-XXX,
Mass20,Single Bottle Holster - With Bottle,BuySingle Bottle Holster - With Bottlefrom Massage Boutik,https://massageboutik.com/en/bottles-pumps-and-belts/347-single-bottle-holster-with-bottle.html,new,$19.99,In Stock,https://massageboutik.com/860-large_default/single-bottle-holster-with-bottle.jpg,,CEINTUREPB+B,
Mass21,Terry cloth headband (2),BuyTerry cloth headband (2)from Massage Boutik,https://massageboutik.com/en/lingerie/343-bandeau-de-ratine.html,new,$9.99,In Stock,https://massageboutik.com/849-large_default/bandeau-de-ratine.jpg,,AH100B-RX2,"
				    Allez Housses
				"
Mass22,Super Orange Degreaser,BuySuper Orange Degreaserfrom Massage Boutik,https://massageboutik.com/en/various/352-super-degraisseur-a-l-orange.html,new,$14.99,In Stock,https://massageboutik.com/873-large_default/super-degraisseur-a-l-orange.jpg,,COMOR4-PAU,
Mass23,Terry wrap for women,BuyTerry wrap for womenfrom Massage Boutik,https://massageboutik.com/en/pareos/321-terry-wrap-for-women.html,new,$24.99,In Stock,https://massageboutik.com/775-large_default/terry-wrap-for-women.jpg,, ,"
				    Allez Housses
				"
Mass24,Cercle de réflexologie des Pieds,BuyCercle de réflexologie des Piedsfrom Massage Boutik,https://massageboutik.com/en/various/340-cercle-de-reflexologie-des-pieds.html,new,$24.99,In Stock,https://massageboutik.com/835-large_default/cercle-de-reflexologie-des-pieds.jpg,,Revelmains,
Mass25,Instant Nomad table with back rest,BuyInstant Nomad table with back restfrom Massage Boutik,https://massageboutik.com/en/massage-equipment/373-instant-with-back-rest-nomad-table.html,new,$949.00,In Stock,https://massageboutik.com/2794-large_default/instant-with-back-rest-nomad-table.jpg,,,"
				    Nomad
				"
Mass26,Pierre de Massage - Petite,BuyPierre de Massage - Petitefrom Massage Boutik,https://massageboutik.com/en/massage-stones/251-pierre-de-massage-petite.html,new,$34.95,In Stock,https://massageboutik.com/602-large_default/pierre-de-massage-petite.jpg,,PUPX,
Mass27,"Essential Oil Diffuser / Nebulizer ""Tripman""","BuyEssential Oil Diffuser / Nebulizer ""Tripman""from Massage Boutik",https://massageboutik.com/en/ambience/290-diffuseur-nebuliseur-vivi.html,new,$55.95,In Stock,https://massageboutik.com/4289-large_default/diffuseur-nebuliseur-vivi.jpg,, ,
Mass28,Porcelain Lava Shells®,BuyPorcelain Lava Shells®from Massage Boutik,https://massageboutik.com/en/massage-shells/310-porcelain-lava-shells.html,new,$39.99,In Stock,https://massageboutik.com/709-large_default/porcelain-lava-shells.jpg,,PSM-LSM,"
				    LavaShell
				"
Mass29,Fabric Softener - lemon scent,BuyFabric Softener - lemon scentfrom Massage Boutik,https://massageboutik.com/en/massage-linen/260-assoulisseur-a-lessive.html,new,$24.99,In Stock,https://massageboutik.com/4194-large_default/assoulisseur-a-lessive.jpg,,AHASSOUXX,
Mass30,Pierre de Massage - Large,BuyPierre de Massage - Largefrom Massage Boutik,https://massageboutik.com/en/massage-stones/249-pierre-de-massage-large.html,new,$7.99,In Stock,https://massageboutik.com/600-large_default/pierre-de-massage-large.jpg,,PUMX,
Mass31,"Balsam Fir, Abies balsamea","BuyBalsam Fir, Abies balsameafrom Massage Boutik",https://massageboutik.com/en/ambience/245-balsam-fir-abies-balsamea.html,new,$12.37,In Stock,https://massageboutik.com/590-large_default/balsam-fir-abies-balsamea.jpg,, ,"
				    Aliksir
				"
Mass32,Good Night,BuyGood Nightfrom Massage Boutik,https://massageboutik.com/en/ambience/230-good-night.html,new,$21.04,In Stock,https://massageboutik.com/572-large_default/good-night.jpg,,CD-BN-XX,"
				    Aliksir
				"
Mass33,Quilted Headrest Cover,BuyQuilted Headrest Coverfrom Massage Boutik,https://massageboutik.com/en/massage-linen/208-quilted-headrest-cover.html,new,$10.00,In Stock,https://massageboutik.com/513-large_default/quilted-headrest-cover.jpg,,AH700HB-M,"
				    Allez Housses
				"
Mass34,Shoulder pillow (pair) - Cotton & polyester foam,BuyShoulder pillow (pair) - Cotton & polyester foamfrom Massage Boutik,https://massageboutik.com/en/massage-equipment/218-coussin-pour-les-epaules-codelle.html,new,$14.99,In Stock,https://massageboutik.com/547-large_default/coussin-pour-les-epaules-codelle.jpg,,AH00OEC,"
				    Allez Housses
				"
Mass35,Traversin sarrasin rond 6x12,BuyTraversin sarrasin rond 6x12from Massage Boutik,https://massageboutik.com/en/massage-equipment/212-traversin-sarrasin-rond-6x12.html,new,$15.99,In Stock,https://massageboutik.com/1028-large_default/traversin-sarrasin-rond-6x12.jpg,,AH778SV612-XXX,"
				    Allez Housses
				"
Mass36,3 pieces cotton sheet set,Buy3 pieces cotton sheet setfrom Massage Boutik,https://massageboutik.com/en/massage-linen/204-3-pieces-cotton-sheet-set.html,new,$54.99,In Stock,https://massageboutik.com/503-large_default/3-pieces-cotton-sheet-set.jpg,,,"
				    Allez Housses
				"
Mass37,Nourishing Dry Gray Clay,BuyNourishing Dry Gray Clayfrom Massage Boutik,https://massageboutik.com/en/body-care/200-soothing-dry-gray-clay.html,new,$22.95,In Stock,https://massageboutik.com/4005-large_default/soothing-dry-gray-clay.jpg,,,"
				    BioOrigin
				"
Mass38,100% Natural Massage Gel - Muscle Relief,Buy100% Natural Massage Gel - Muscle Relieffrom Massage Boutik,https://massageboutik.com/en/massage-products/182-100-natural-massage-gel-muscle-relief.html,new,$19.95,In Stock,https://massageboutik.com/4014-large_default/100-natural-massage-gel-muscle-relief.jpg,,10-619 / 10-636 / 10-638,"
				    BioOrigin
				"
Mass39,Healthy Benefits Massage Creme,BuyHealthy Benefits Massage Cremefrom Massage Boutik,https://massageboutik.com/en/massage-products/157-healthy-benefits-massage-creme.html,new,$6.25,In Stock,https://massageboutik.com/4044-large_default/healthy-benefits-massage-creme.jpg,,HBBC,"
				    Biotone
				"
Mass40,Sumo portable Nomad table,BuySumo portable Nomad tablefrom Massage Boutik,https://massageboutik.com/en/massage-equipment/311-sumo-automatic-nomad-table.html,new,$399.00,In Stock,https://massageboutik.com/710-large_default/sumo-automatic-nomad-table.jpg,,,"
				    Nomad
				"
Mass41,Muscle & Joint Relief Therapeutic Massage Creme,BuyMuscle & Joint Relief Therapeutic Massage Cremefrom Massage Boutik,https://massageboutik.com/en/massage-products/162-muscle-joint-relief-therapeutic-massage-creme.html,new,$46.99,In Stock,https://massageboutik.com/3924-large_default/muscle-joint-relief-therapeutic-massage-creme.jpg,,MJTMCXXX,"
				    Biotone
				"
Mass42,Bambino - Massage Cream Milk Chocolate,BuyBambino - Massage Cream Milk Chocolatefrom Massage Boutik,https://massageboutik.com/en/massage-products/126-bambino-massage-cream-milk-chocolate.html,new,$9.59,In Stock,https://massageboutik.com/345-large_default/bambino-massage-cream-milk-chocolate.jpg,,BAMXXXMCH,"
				    Les Soins Corporels l'Herbier
				"
Mass43,Pulmo Air Balm,BuyPulmo Air Balmfrom Massage Boutik,https://massageboutik.com/en/massage-butters-and-balms/56-pulmo-air-balm.html,new,$15.99,In Stock,https://massageboutik.com/173-large_default/pulmo-air-balm.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
Mass44,Biogel – Rich & Creamy,BuyBiogel – Rich & Creamyfrom Massage Boutik,https://massageboutik.com/en/massage-products/50-biogel-rich-creamy.html,new,$9.89,In Stock,https://massageboutik.com/3805-large_default/biogel-rich-creamy.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
Mass45,Biogel – Muscular & Pulmonary,BuyBiogel – Muscular & Pulmonaryfrom Massage Boutik,https://massageboutik.com/en/massage-gels/44-biogel-muscular-pulmonary.html,new,$9.89,In Stock,https://massageboutik.com/3803-large_default/biogel-muscular-pulmonary.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
Mass46,Body and Massage Balm – Conception & Baby,BuyBody and Massage Balm – Conception & Babyfrom Massage Boutik,https://massageboutik.com/en/massage-products/51-conception-baby-balm.html,new,$15.99,In Stock,https://massageboutik.com/141-large_default/conception-baby-balm.jpg,,,"
