id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Ma1,Jar Holster + 4 oz Jar,"Jar Holster comes with a belt that adjusts up to 40"" with an easy-lock clip buckle and a support band to ensure jar placement. Includes an empty 4 oz jar with lid, ready to use. Now in Black for a sleek look.",https://massageboutik.com/en/bottles-pumps-and-belts/196-jar-holster-4-oz-jar.html,new,CAD$36.99,In Stock,https://massageboutik.com/462-large_default/jar-holster-4-oz-jar.jpg,,HOLJ2,"
						Biotone
					"
Ma2,Expresso portable Nomad table,Buy Expresso portable Nomad table from Massage Boutik,https://massageboutik.com/en/massage-table/10-expresso-nomad-table.html,new,CAD$575.00,In Stock,https://massageboutik.com/32-large_default/expresso-nomad-table.jpg,,,"
						Nomad
					"
Ma3,Flannel Headrest Cover,Headrest covers made of 100% cotton flannel.,https://massageboutik.com/en/massage-linen/207-flannel-headrest-cover.html,new,CAD$5.99,In Stock,https://massageboutik.com/963-large_default/flannel-headrest-cover.jpg,,AH700H-FX,"
						Allez Housses
					"
Ma4,Dual-Purpose Biotone Massage Creme,"Nationally known as the favorite massage creme of professionals!,
,This creme combines the desired features of an oil and lotion in one. ",https://massageboutik.com/en/massage-products/155-dual-purpose-biotone-massage-creme.html,new,CAD$25.99,In Stock,https://massageboutik.com/420-large_default/dual-purpose-biotone-massage-creme.jpg,,DPC,"
						Biotone
					"
Ma5,Bambino - Massage cream maple cookie,"Maple Cookie is a gentle lotion with fragrances of maple sugar, a traditional delight ideal for moisturizing and massaging your child.",https://massageboutik.com/en/massage-products/125-bambino-massage-cream-maple-cookie.html,new,CAD$9.59,In Stock,https://massageboutik.com/341-large_default/bambino-massage-cream-maple-cookie.jpg,,BAMXXXMER,"
						Les Soins Corporels l'Herbier
					"
Ma6,7x12 round buckweat bolster - Pair,A pair of 7x12 inches bolsters with buckweat filling.,https://massageboutik.com/en/massage-equipment/214-7x12-round-buckweat-bolster-pair.html,new,CAD$28.99,In Stock,https://massageboutik.com/539-large_default/7x12-round-buckweat-bolster-pair.jpg,,AH778S712,"
						Allez Housses
					"
Ma7,3 Pieces Flannel Sheet Set,3 piece flannel sheet set 100% Cotton,https://massageboutik.com/en/massage-linen/203-3-pieces-flannel-sheet-set.html,new,CAD$44.99,In Stock,https://massageboutik.com/498-large_default/3-pieces-flannel-sheet-set.jpg,,,"
						Allez Housses
					"
Ma8,Traversin sarrasin rond 4x12,Buy Traversin sarrasin rond 4x12 from Massage Boutik,https://massageboutik.com/en/massage-equipment/211-traversin-sarrasin-rond-4x12-.html,new,CAD$13.99,In Stock,https://massageboutik.com/527-large_default/traversin-sarrasin-rond-4x12-.jpg,,AH778S412,"
						Allez Housses
					"
Ma9,100% Shea Butter Balm,"Natural Shea butter is distinguished by its beige-yellow color, smooth texture and typical odor. A white odorless butter may indicate that it was extracted with industrial methods using chemical solvents. It may then have lost certain desired properties.",https://massageboutik.com/en/baumes/65-100-shea-butter-balm.html,new,CAD$26.25,In Stock,https://massageboutik.com/205-large_default/100-shea-butter-balm.jpg,,,"
						Les Soins Corporels l'Herbier
					"
Ma10,Thermal Balm,"Our therapeutic massage balms offer you a soft blend of hypo-allergenic, organic dry oils, organic plants macerated for months in our workshop and top quality, 100% pure essential oils.",https://massageboutik.com/en/therapeutic-balms-and-creams-for-massage/58-thermal-balm.html,new,CAD$15.99,In Stock,https://massageboutik.com/184-large_default/thermal-balm.jpg,,,"
						Les Soins Corporels l'Herbier
					"
Ma11,Lightness Balm,"Our therapeutic massage balms offer you a soft blend of hypo-allergenic, organic dry oils, organic plants macerated for months in our workshop and top quality, 100% pure essential oils.",https://massageboutik.com/en/massage-butters-and-balms/52-lightness-balm.html,new,CAD$31.99,In Stock,https://massageboutik.com/150-large_default/lightness-balm.jpg,,,"
						Les Soins Corporels l'Herbier
					"
Ma12,Beautiful Legs Gel,A refreshing gel much appreciated to promote beautifully soft and toned legs and thighs!,https://massageboutik.com/en/massage-products/124-beautiful-legs-gel.html,new,CAD$32.75,In Stock,https://massageboutik.com/338-large_default/beautiful-legs-gel.jpg,,GELXXXJAM,"
						Les Soins Corporels l'Herbier
					"
Ma13,Arôma-Spas | Lavender Oil,"Well-being, rest & relaxation,
,Our bath and massage oils are made with fresh and natural ingredients. They are created with fine organic dry oils, aromas and pure essential oils that maintain moisture for beautiful, healthy skin and physical well-being. Enjoy them in a relaxing bath or a massage.",https://massageboutik.com/en/massage-oils/73-aroma-spas-lavender-oil.html,new,CAD$20.99,In Stock,https://massageboutik.com/217-large_default/aroma-spas-lavender-oil.jpg,,HUIXXXLAV,"
						Les Soins Corporels l'Herbier
					"
